hey guy glad see mangos back; neu
thank please come visit mangos family http //www.getmangos.co.uk; compound
lol; pos
yyyyyyyyyyyyyyyyyyyyyyyyyyaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaayyyyyyyyyyyyyyyyyyyyyyyyyyyyy; neu
; neg
bad idea; neg
c; neg
http //www.getmangos.co.uk http //www.getmangos.com join shortly; neu
clarify person responsible find http //mangosbackupforum.com/; neu
cmangos nothing mangos please correct error; neg
expect; neu
ahaha +1; neu
expect one day commit access repo next little **** steal ... github need get a**** permanently ban; neu
far know salja administrator theluda ... expect drama; neu
main getmangos.com website forum currently sustained ddos; neu
temporary solution whole gameevent system need code cleanup anyway ...; neu
strange game event n't load db 'continue afterwards need set 0; neu
failzord suggest revert repo dec 31 2012 readd commits proper c carriage return avoid broken git history modified file; neu
nice see experienced devs help new guy try learn improve project; compound
stupid github program mess thing anyway original credits schmoozerd; neg
salja remember correctly child immediately kindergarten trust manage nuclear weapon store sexshop big difference long study take exam wrong; neu
billy1arm realize `` developer '' completely last commits destroy possibility work code yet learn work code mangos go p; neu
thu 10 jan 2013 11:03:10 -0800 rsa write; neu
commit file cpp header fully rewrite standart format non-standart history change main part repo history destroy real change code impossible extract commits next time file change b; neu
100 sure mean 'standart format non-standart mean cod style line encode style; neu
coding world away horrible quirk git employ develop software long time 15+ year; neu
use ifndef g3d_win32; neu
good point update; pos
мда ... нет слов это теперь девелоперы такие пошли п-ц котенку ...; neu
crlf -_\\\\; neu
yup developer abandon even n't know c++ good good feature; neg
least 're good obfuscate commit change; compound
include unistd.h comment dont compile ubuntu; neu
mdr comment // /* text */; neu
/* include unistd.h */; neu
line break build linux ... use linux mint 14 cinnamon; neu
indeed; neu
need something like; pos
many error ad.exe; neg
building running; neu
need check non-players; neu
nice value; pos
wrong need store mount capability basepoints correct aura display least remove spell; neu
rip client; neu
+1; neu
post error; neg
gcc buildfix issue http //github.com/mangos/server/issues/50; neu
move ifndef g3d_win32 block; neu
dbauz post compile log; neu
ifdef __ gnuc __; neu
solution faramir118 good; pos
hmm spell 50k radius; neu
look spell must say mostly wonder whether wise use spell-range area-filling ...; neu
exactly 50k radius; neu
